,distance,cab_type,destination,source,price,surge_multiplier,id,product_id,name,date_hour,temp,clouds,pressure,rain,humidity,wind,hour,date,day,product,product_Accessible,product_Basic,product_Lux,product_SUV,product_Sedan,product_Shared,product_XL
2679,1.64,Uber,Back Bay,Northeastern University,6.5,1.0,bdd54387-f95b-4d94-a084-9446eb50ee8b,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28:10.32.07,32.62,0.16,991.43,,0.86,6.36,10,2018-11-28,Wednesday,Shared,0,0,0,0,0,1,0
692,0.55,Uber,South Station,Theatre District,15.5,1.0,6b61bed5-9180-4d91-865d-ece8755983d4,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28:23.02.09,39.88,0.98,995.04,,0.64,10.05,23,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
3692,3.37,Uber,Northeastern University,North Station,10.5,1.0,94f4a50e-8564-4f9c-9d88-a0169ab115c7,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:18.06.23,41.28,0.94,991.4,,0.63,9.73,18,2018-11-28,Wednesday,Basic,0,1,0,0,0,0,0
3352,2.9,Lyft,North End,Back Bay,22.5,1.0,4635e48c-c28c-4fcd-b7bd-e396e657b174,lyft_premier,Lux,2018-11-29:00.53.38,38.8,0.75,996.87,,0.7,9.76,0,2018-11-29,Thursday,Lux,0,0,1,0,0,0,0
2519,3.01,Uber,Boston University,North Station,10.5,1.0,b74aad35-bc6b-4b67-9a6e-a249fb6dab2a,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:10.02.08,33.2,0.13,991.17,,0.84,5.56,10,2018-11-28,Wednesday,Basic,0,1,0,0,0,0,0
347,2.27,Uber,Boston University,Beacon Hill,15.0,1.0,ee472020-8429-4c77-b21e-b28a5e5c7499,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:07.31.37,35.0,0.15,991.76,,0.8,6.59,7,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
1198,1.81,Uber,Northeastern University,Theatre District,8.5,1.0,af6fe409-c441-44ee-aa9d-661d25481aed,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-26:19.05.10,45.77,0.97,1010.97,,0.84,8.03,19,2018-11-26,Monday,Accessible,1,0,0,0,0,0,0
62,1.61,Uber,Haymarket Square,Theatre District,19.5,1.0,aaf1cd3d-22ff-46a7-8a39-352a2d7a08b8,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-27:00.58.49,43.95,0.98,1005.98,0.1884,0.9,9.95,0,2018-11-27,Tuesday,Sedan,0,0,0,0,1,0,0
1870,1.68,Lyft,West End,South Station,13.5,1.0,e54dbc86-2449-475f-a0ca-e76e80932d35,lyft_plus,Lyft XL,2018-11-28:23.45.57,39.72,0.88,995.86,,0.65,10.4,23,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
3,2.12,Lyft,Northeastern University,Theatre District,7.0,1.0,7902bfaf-5987-499b-9c04-222f4182c581,lyft_line,Shared,2018-11-28:17.32.07,41.47,0.85,991.67,,0.63,9.93,17,2018-11-28,Wednesday,Shared,0,0,0,0,0,1,0
2164,1.06,Lyft,North End,West End,13.5,1.0,bbd798a2-eea1-4728-b1be-b6b45af2ab5e,lyft_premier,Lux,2018-11-28:14.02.07,38.41,0.48,991.64,,0.67,11.42,14,2018-11-28,Wednesday,Lux,0,0,1,0,0,0,0
405,2.62,Lyft,Beacon Hill,Boston University,32.5,1.0,a247284a-60f8-492a-8e82-5a76f66ce915,lyft_luxsuv,Lux Black XL,2018-11-28:14.02.08,38.34,0.48,991.66,,0.67,11.62,14,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
2006,0.48,Lyft,South Station,Financial District,13.5,1.75,bce9cd42-bdd2-40a9-a214-923a544c45b5,lyft_plus,Lyft XL,2018-11-26:06.14.16,40.5,1.0,1014.18,,0.92,1.25,6,2018-11-26,Monday,XL,0,0,0,0,0,0,1
2515,3.17,Lyft,North Station,Northeastern University,27.5,1.0,c83fe4f5-230b-49a8-8ab1-bfa93b0f6ebd,lyft_lux,Lux Black,2018-11-26:05.29.17,40.15,0.91,1013.79,,0.94,2.75,5,2018-11-26,Monday,Sedan,0,0,0,0,1,0,0
3304,0.99,Lyft,North Station,North End,5.0,1.0,4f0ef87e-abc3-472d-85c4-d511f3a8272b,lyft_line,Shared,2018-11-27:00.58.48,44.09,0.98,1006.01,0.161,0.9,10.0,0,2018-11-27,Tuesday,Shared,0,0,0,0,0,1,0
887,3.01,Uber,Boston University,North Station,37.0,1.0,e372fd45-ed30-48ca-9ee0-2daf226b473b,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:00.45.22,38.87,0.04,992.09,,0.73,7.52,0,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
1740,3.16,Uber,North End,Back Bay,25.0,1.0,e0ac4344-4092-47cc-979d-7a28b6469842,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:11.32.07,32.98,0.42,990.91,,0.83,7.06,11,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
836,1.0,Uber,Financial District,Haymarket Square,15.0,1.0,04c9c3b2-2f50-4a21-bcab-98aeb607e31a,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-29:02.32.08,38.05,0.37,998.28,,0.71,10.79,2,2018-11-29,Thursday,Sedan,0,0,0,0,1,0,0
2551,1.36,Lyft,Beacon Hill,Haymarket Square,16.5,1.0,f172a330-3078-483b-b280-192218b44861,lyft_lux,Lux Black,2018-11-28:17.32.07,41.38,0.85,991.66,,0.64,9.93,17,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
1996,2.48,Uber,South Station,Beacon Hill,14.0,1.0,fb907e01-91af-4d64-a3d7-ceadfad1c1a0,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:07.34.35,34.83,0.13,991.63,,0.8,6.65,7,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
2508,0.39,Uber,South Station,Financial District,5.5,1.0,7544af62-5678-463a-849d-27582608a488,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28:09.50.11,33.74,0.12,991.2,,0.82,5.44,9,2018-11-28,Wednesday,Shared,0,0,0,0,0,1,0
1177,0.56,Lyft,North Station,Haymarket Square,19.5,1.25,16410f0e-38be-49db-ab95-d02342ee998f,lyft_lux,Lux Black,2018-11-28:13.32.07,37.96,0.55,991.82,,0.69,6.72,13,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
2613,2.23,Lyft,Haymarket Square,Back Bay,34.0,1.0,77dd9e18-3e17-4b83-854c-97935906b931,lyft_luxsuv,Lux Black XL,2018-11-28:15.02.08,39.52,0.27,991.75,,0.65,8.19,15,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
1282,3.21,Lyft,North Station,Northeastern University,7.0,1.0,c4f874c7-d924-4c56-bb58-a3c00079e65a,lyft_line,Shared,2018-11-28:19.06.23,40.87,1.0,991.93,,0.64,9.47,19,2018-11-28,Wednesday,Shared,0,0,0,0,0,1,0
1327,4.55,Lyft,Fenway,Financial District,47.5,1.5,c00d56b2-4163-4a2e-8100-d88c86c34712,lyft_lux,Lux Black,2018-11-28:00.45.22,38.87,0.04,992.1,,0.73,7.53,0,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
1799,3.01,Uber,Boston University,North Station,,1.0,f84e3791-cd64-47a3-a73f-38fe1c5991d5,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-29:01.02.08,38.66,0.7,997.12,,0.71,9.92,1,2018-11-29,Thursday,,0,0,0,0,0,0,0
1276,3.19,Lyft,Northeastern University,Financial District,38.5,1.0,3d69c20d-d73e-4457-a6ed-61481bbade1d,lyft_luxsuv,Lux Black XL,2018-11-28:09.32.18,34.17,0.42,991.74,,0.81,5.97,9,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
462,1.36,Uber,Beacon Hill,Haymarket Square,8.0,1.0,909c3fca-52c0-4920-8737-b980e642f3b3,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-26:22.42.25,44.61,0.97,1007.97,0.0179,0.87,9.65,22,2018-11-26,Monday,Basic,0,1,0,0,0,0,0
1581,2.17,Uber,South Station,North Station,9.5,1.0,cb7662fc-b528-41ef-87fc-139c99f20959,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-27:01.17.22,44.07,0.99,1005.4,0.2946,0.9,11.26,1,2018-11-27,Tuesday,Accessible,1,0,0,0,0,0,0
3660,3.18,Uber,North Station,Fenway,11.5,1.0,4c0b25cb-bdfd-49a4-9c75-97e2b5ffb113,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28:11.02.07,33.14,0.39,990.65,,0.82,6.45,11,2018-11-28,Wednesday,Accessible,1,0,0,0,0,0,0
1492,2.38,Uber,Theatre District,Fenway,10.0,1.0,7fb76bb1-0eb3-46e0-b127-efe8c4f4e492,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-26:06.24.02,40.28,1.0,1014.16,,0.92,1.22,6,2018-11-26,Monday,Shared,0,0,0,0,0,1,0
2502,3.45,Uber,South Station,Back Bay,21.5,1.0,978a6d9c-f70b-4186-be7a-addcd07feb45,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28:09.43.15,33.47,0.4,991.97,,0.84,6.76,9,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
2640,1.26,Lyft,Haymarket Square,Financial District,3.0,1.0,95a7ffce-75f2-4206-b97a-6b556e3cb818,lyft_line,Shared,2018-11-28:14.06.23,38.52,0.48,991.69,,0.67,11.22,14,2018-11-28,Wednesday,Shared,0,0,0,0,0,1,0
3499,2.93,Lyft,Fenway,West End,22.5,1.0,6d9b78af-a41f-4943-8d05-229a8b029380,lyft_lux,Lux Black,2018-11-29:01.09.23,38.49,0.67,997.22,,0.71,10.07,1,2018-11-29,Thursday,Sedan,0,0,0,0,1,0,0
2347,1.0,Uber,Financial District,Haymarket Square,26.0,1.0,91e42b9f-248f-4208-a5da-7297058f5e2b,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:20.32.07,40.85,1.0,993.18,,0.66,9.8,20,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
13,2.04,Uber,Back Bay,Haymarket Square,29.5,1.0,9b74126d-52f9-4a47-a130-512208df9bb3,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:18.32.08,41.26,0.99,991.7,,0.64,10.27,18,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
433,2.66,Uber,Theatre District,Fenway,,1.0,8d8a81c4-9906-4dca-b071-6b390466f5dc,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-26:06.29.02,40.33,1.0,1014.16,,0.92,1.29,6,2018-11-26,Monday,,0,0,0,0,0,0,0
2751,0.39,Uber,South Station,Financial District,9.5,1.0,a58c7bef-9586-4e10-8bf5-809c8eea26fd,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:12.02.07,34.93,0.82,991.2,,0.75,6.41,12,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
1979,0.9,Uber,North End,North Station,11.0,1.0,97060fe5-76c3-4061-bcc9-bcf3ab7fed01,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:10.32.07,32.7,0.16,991.4,,0.85,6.39,10,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
3138,1.08,Lyft,Financial District,North End,3.0,1.0,3daf37f1-f348-412c-b06d-1487d4a7cc90,lyft_line,Shared,2018-11-28:22.53.38,40.13,0.99,994.93,,0.63,9.87,22,2018-11-28,Wednesday,Shared,0,0,0,0,0,1,0
1374,4.72,Uber,Financial District,Boston University,33.0,1.0,a4928ee6-5105-4dd1-acc5-3c5b0dca0b6c,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-26:06.29.02,40.45,1.0,1014.16,,0.92,1.27,6,2018-11-26,Monday,Sedan,0,0,0,0,1,0,0
358,1.61,Uber,Haymarket Square,Theatre District,8.5,1.0,97e1922f-9e23-488c-9c75-23765d8f90d3,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-12-01:15.53.05,39.97,0.12,1022.78,,0.61,3.34,15,2018-12-01,Saturday,Basic,0,1,0,0,0,0,0
771,1.09,Lyft,North Station,North End,11.0,1.0,97b7d9c2-d7aa-487c-8c16-bd1460a9e43a,lyft_plus,Lyft XL,2018-11-28:07.34.35,35.04,0.14,991.75,,0.8,6.72,7,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
1895,1.73,Lyft,North End,Theatre District,22.5,1.0,2a48015b-a64f-4229-bb54-40a9bedcb86a,lyft_lux,Lux Black,2018-11-28:07.33.43,34.89,0.13,991.58,,0.8,6.71,7,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
2505,3.3,Uber,Northeastern University,Financial District,11.0,1.0,071e8282-ec36-4347-be54-8a78ce117c98,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:09.50.11,33.74,0.12,991.2,,0.82,5.44,9,2018-11-28,Wednesday,Basic,0,1,0,0,0,0,0
2541,2.04,Uber,Back Bay,Haymarket Square,19.5,1.0,a9582932-377f-44a4-8352-a904a0d11318,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28:17.32.07,41.38,0.85,991.66,,0.64,9.93,17,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
2412,2.07,Lyft,South Station,North Station,16.5,1.0,9263a070-4822-4b56-84d3-79823e3e3a2d,lyft_premier,Lux,2018-11-26:19.35.10,45.79,0.91,1010.89,,0.83,8.59,19,2018-11-26,Monday,Lux,0,0,1,0,0,0,0
3246,3.21,Uber,North Station,Northeastern University,9.0,1.0,66d39748-6999-4ad3-ae52-df8f28ef97b9,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-26:15.35.09,44.37,0.88,1014.19,,0.89,4.86,15,2018-11-26,Monday,Shared,0,0,0,0,0,1,0
331,2.84,Uber,Fenway,West End,9.5,1.0,cccc1663-df3f-409b-920d-33ed361ac689,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-26:22.42.24,44.52,0.97,1007.96,0.017,0.88,9.61,22,2018-11-26,Monday,Basic,0,1,0,0,0,0,0
3109,1.15,Lyft,Financial District,North End,16.5,1.0,59556b9d-7f52-4e23-b319-f3bebd218ba7,lyft_lux,Lux Black,2018-11-28:13.32.07,37.98,0.55,991.82,,0.69,6.76,13,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
602,2.39,Lyft,North Station,South Station,3.5,1.0,b86c3d08-a5db-4973-ac9f-f51637d32eee,lyft_line,Shared,2018-11-28:08.54.56,34.49,0.52,991.62,,0.8,4.99,8,2018-11-28,Wednesday,Shared,0,0,0,0,0,1,0
1587,1.56,Lyft,South Station,North Station,13.5,1.0,6c758879-83f6-4bef-8958-9bc8823d1f99,lyft_plus,Lyft XL,2018-11-27:01.17.22,44.07,0.99,1005.4,0.2946,0.9,11.26,1,2018-11-27,Tuesday,XL,0,0,0,0,0,0,1
2656,3.17,Lyft,Fenway,North Station,10.5,1.0,9318b13c-f751-430d-b7d7-928847b4eb62,lyft,Lyft,2018-12-14:10.45.08,27.42,0.18,1033.66,,0.78,1.96,10,2018-12-14,Friday,Basic,0,1,0,0,0,0,0
2858,3.45,Uber,South Station,Back Bay,10.0,1.0,ab53da61-7df8-4d05-8f4b-eb510403472c,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-29:01.09.23,38.64,0.67,997.24,,0.71,10.04,1,2018-11-29,Thursday,Shared,0,0,0,0,0,1,0
909,1.56,Uber,Back Bay,Boston University,,1.0,7852e843-6a30-49f7-aae2-ce9fb8d0ce75,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-28:09.32.18,33.59,0.42,991.81,,0.83,5.78,9,2018-11-28,Wednesday,,0,0,0,0,0,0,0
2724,3.25,Lyft,North Station,Northeastern University,34.0,1.0,c9a60229-7a6a-4483-9d5b-32cce1d6f3b3,lyft_luxsuv,Lux Black XL,2018-11-28:23.02.09,39.88,0.98,995.06,,0.64,9.97,23,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
2849,3.01,Uber,Boston University,North Station,18.5,1.0,1ef900b7-26f3-44ab-80aa-60f9592b73bf,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:14.02.08,38.44,0.48,991.64,,0.67,11.41,14,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
1941,2.16,Lyft,Theatre District,Northeastern University,27.5,1.25,4f30f13c-fa61-48bc-a875-24b56f5c2e6b,lyft_lux,Lux Black,2018-11-29:01.02.08,38.57,0.72,997.15,,0.71,9.88,1,2018-11-29,Thursday,Sedan,0,0,0,0,1,0,0
411,2.79,Uber,Beacon Hill,Boston University,9.5,1.0,70db4efc-bac9-4bc2-9c2c-d8859e56f684,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:14.02.08,38.34,0.48,991.66,,0.67,11.62,14,2018-11-28,Wednesday,Basic,0,1,0,0,0,0,0
2093,3.04,Uber,West End,Boston University,9.0,1.0,ee14aba0-f03e-472c-83ca-eb201a9edb29,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28:23.53.40,39.34,0.85,995.99,,0.66,10.35,23,2018-11-28,Wednesday,Shared,0,0,0,0,0,1,0
2202,3.01,Uber,Boston University,North Station,35.0,1.0,9124ecc4-fb43-4098-81ec-6aca1fd1df19,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-29:00.49.07,38.77,0.76,996.79,,0.7,9.7,0,2018-11-29,Thursday,XL,0,0,0,0,0,0,1
2317,2.73,Lyft,Theatre District,Fenway,22.5,1.25,9a172c5e-6b24-4e4e-a68b-d60fd4e13f71,lyft_premier,Lux,2018-11-26:09.29.09,40.72,1.0,1014.75,,0.94,1.36,9,2018-11-26,Monday,Lux,0,0,1,0,0,0,0
1073,1.71,Uber,West End,South Station,27.5,1.0,07d81663-566c-49ce-9e2f-e164e9188c59,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-27:01.45.22,44.31,1.0,1004.19,0.7505,0.9,12.48,1,2018-11-27,Tuesday,SUV,0,0,0,1,0,0,0
193,3.1,Lyft,Boston University,North Station,19.5,1.0,5b2a1bd9-fda9-4fe5-92fe-dcae55fd3a1c,lyft_premier,Lux,2018-11-28:13.02.07,36.84,0.64,991.55,,0.7,6.56,13,2018-11-28,Wednesday,Lux,0,0,1,0,0,0,0
2537,0.8,Uber,Financial District,Haymarket Square,27.5,1.0,22a6c8fc-77fb-445c-a83a-6b3fc23609a3,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:17.32.07,41.38,0.85,991.66,,0.64,9.93,17,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
3524,0.92,Uber,North End,Financial District,8.5,1.0,b54479bd-1645-4e1d-91a4-55785fb84c31,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28:10.32.07,33.53,0.15,991.41,,0.83,6.45,10,2018-11-28,Wednesday,Accessible,1,0,0,0,0,0,0
156,1.25,Lyft,Theatre District,Haymarket Square,7.0,1.0,8d9980b7-13f9-415b-992d-c21256b2e2d2,lyft,Lyft,2018-11-26:06.49.45,41.13,0.98,1014.35,,0.92,1.82,6,2018-11-26,Monday,Basic,0,1,0,0,0,0,0
3409,1.53,Lyft,Back Bay,Boston University,5.0,1.0,844ee1a3-30d9-424c-ab47-73b07d67379a,lyft_line,Shared,2018-11-28:11.02.07,32.99,0.39,990.65,,0.83,6.43,11,2018-11-28,Wednesday,Shared,0,0,0,0,0,1,0
990,0.39,Uber,South Station,Financial District,7.0,1.0,98f9dc28-1417-43e0-a7c0-867832ef6df1,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-26:04.55.44,40.67,0.94,1013.76,,0.92,2.92,4,2018-11-26,Monday,Accessible,1,0,0,0,0,0,0
3041,3.01,Uber,Boston University,North Station,10.0,1.0,1d1e8d63-b8b3-4df7-93b9-c87c4547f810,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-26:09.29.09,40.83,1.0,1014.75,,0.93,1.24,9,2018-11-26,Monday,Shared,0,0,0,0,0,1,0
2967,4.51,Lyft,Financial District,Boston University,22.5,1.0,55b35857-e977-4354-adda-bc5926cfb762,lyft_plus,Lyft XL,2018-11-28:07.34.35,34.99,0.16,991.78,,0.8,6.5,7,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
2040,2.95,Lyft,Fenway,West End,26.0,1.0,35ed6b0b-742e-46e5-9658-8f225abc914b,lyft_lux,Lux Black,2018-11-26:05.29.18,40.28,0.92,1013.8,,0.94,2.67,5,2018-11-26,Monday,Sedan,0,0,0,0,1,0,0
1649,2.1,Lyft,South Station,North Station,13.5,1.0,cf22a674-9fcf-488f-9fe2-35340be6bf35,lyft_plus,Lyft XL,2018-11-27:01.45.22,44.19,1.0,1004.48,0.7247,0.9,13.36,1,2018-11-27,Tuesday,XL,0,0,0,0,0,0,1
813,1.82,Uber,Back Bay,Fenway,,1.0,ae3886a9-56a6-43f9-b344-855ef181b0a9,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-28:09.50.11,33.46,0.13,991.22,,0.83,5.34,9,2018-11-28,Wednesday,,0,0,0,0,0,0,0
2555,2.3,Uber,Back Bay,Haymarket Square,15.0,1.0,d1d0dc97-1819-459a-8849-e889481a32f8,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:17.32.07,41.38,0.85,991.66,,0.64,9.93,17,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
475,0.59,Lyft,South Station,Theatre District,7.0,1.0,9f1efcfc-3cc9-4831-8b74-376281b64135,lyft,Lyft,2018-11-28:14.02.08,38.44,0.49,991.65,,0.67,11.31,14,2018-11-28,Wednesday,Basic,0,1,0,0,0,0,0
3420,3.07,Lyft,Northeastern University,West End,19.5,1.0,329094ed-21b6-4f57-a0c4-616dc29a694f,lyft_premier,Lux,2018-11-29:01.59.52,38.42,0.55,997.77,,0.7,10.25,1,2018-11-29,Thursday,Lux,0,0,1,0,0,0,0
1548,1.07,Lyft,North End,West End,5.0,1.0,27f2c023-8cb8-48b9-b426-41afd3fbb8bc,lyft_line,Shared,2018-11-29:01.02.08,38.61,0.7,997.12,,0.71,9.92,1,2018-11-29,Thursday,Shared,0,0,0,0,0,1,0
802,4.45,Lyft,Financial District,Fenway,26.0,1.0,5a4899c9-dce7-4354-aa48-9d106d8d3ced,lyft_premier,Lux,2018-11-28:23.02.09,39.85,0.98,995.06,,0.64,9.9,23,2018-11-28,Wednesday,Lux,0,0,1,0,0,0,0
2886,3.04,Uber,West End,Boston University,9.0,1.0,f6ac28b5-c185-4587-a063-85f0877a48f0,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28:12.06.22,34.55,0.78,991.18,,0.76,6.52,12,2018-11-28,Wednesday,Shared,0,0,0,0,0,1,0
1716,4.72,Uber,Financial District,Boston University,39.5,1.0,c9a3f953-2cc2-424c-a0d9-7e6641715166,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-26:05.14.00,40.6,0.92,1013.75,,0.92,2.85,5,2018-11-26,Monday,SUV,0,0,0,1,0,0,0
1074,1.71,Uber,West End,South Station,15.0,1.0,2ac19085-c857-4a09-9e99-4802c9570aea,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-27:01.45.22,44.31,1.0,1004.19,0.7505,0.9,12.48,1,2018-11-27,Tuesday,XL,0,0,0,0,0,0,1
2262,4.55,Uber,Financial District,Northeastern University,20.5,1.0,256ab02d-ea00-45e5-b5c1-e1820dd7fc2e,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-29:02.06.46,38.25,0.51,997.92,,0.71,10.26,2,2018-11-29,Thursday,XL,0,0,0,0,0,0,1
2651,1.56,Lyft,North End,Beacon Hill,27.5,1.0,fd62da33-4e01-459d-8c99-c6e4299af5b3,lyft_luxsuv,Lux Black XL,2018-11-28:14.06.23,38.39,0.48,991.69,,0.67,11.36,14,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
3152,1.34,Uber,Fenway,Back Bay,14.5,1.0,030b056c-91a7-4697-a850-8006c7b0c08c,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28:10.02.08,33.49,0.13,991.18,,0.83,5.55,10,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
536,2.32,Lyft,Fenway,Beacon Hill,13.5,1.0,25d7f505-1f37-49ce-88a5-a514cd385582,lyft_plus,Lyft XL,2018-11-26:17.05.09,45.44,0.98,1012.84,,0.86,6.14,17,2018-11-26,Monday,XL,0,0,0,0,0,0,1
2119,1.63,Uber,West End,South Station,,1.0,e2a563a1-bdfe-4570-b455-7a0a2152109b,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-29:01.51.40,38.45,0.58,997.62,0.002,0.7,10.03,1,2018-11-29,Thursday,,0,0,0,0,0,0,0
2769,2.14,Uber,South Station,West End,8.0,1.0,a632ea06-3884-4be3-bf07-bb3faf7eed7a,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-26:21.05.10,44.71,1.0,1009.12,,0.85,9.25,21,2018-11-26,Monday,Accessible,1,0,0,0,0,0,0
1039,2.38,Uber,North Station,South Station,,1.0,0c073988-91c6-4467-959d-7cb84d3d5c67,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-28:07.34.35,35.83,0.15,991.77,,0.77,6.74,7,2018-11-28,Wednesday,,0,0,0,0,0,0,0
549,2.79,Uber,Beacon Hill,Boston University,,1.0,272146d1-db99-4485-ac74-1e3681eb2c76,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-29:06.49.50,37.9,0.99,1000.2,,0.69,9.98,6,2018-11-29,Thursday,,0,0,0,0,0,0,0
3526,2.46,Lyft,Beacon Hill,South Station,19.5,1.0,a4428ad2-78b7-4a25-a083-ad9c877a3d46,lyft_premier,Lux,2018-11-26:22.42.25,45.49,0.97,1007.96,0.0092,0.84,9.74,22,2018-11-26,Monday,Lux,0,0,1,0,0,0,0
3518,1.33,Uber,South Station,West End,7.5,1.0,9163522d-b0c7-4c18-bd58-30f05cf0bb8c,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:10.32.07,32.64,0.16,991.4,,0.86,6.39,10,2018-11-28,Wednesday,Basic,0,1,0,0,0,0,0
1349,3.44,Uber,Back Bay,South Station,10.0,1.0,7e98d84a-eb1b-41c1-866e-5f7e28a3c6be,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-26:09.29.09,42.06,1.0,1014.75,,0.89,1.07,9,2018-11-26,Monday,Shared,0,0,0,0,0,1,0
1393,1.03,Lyft,North End,North Station,11.0,1.0,086550d3-d365-47a2-92ee-cdd2f9c62f65,lyft_plus,Lyft XL,2018-11-28:20.32.07,40.76,1.0,993.28,,0.66,9.83,20,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
